,Timestamp,idx,gaze_x,gaze_y,gaze_z,REyePos_x,REyePos_y,LEyePos_x,LEyePos_y,yaw,pitch,roll,HeadBox_xmin,HeadBox_ymin,RightEyeBox_xmin,RightEyeBox_ymin,LeftEyeBox_xmin,LeftEyeBox_ymin,ROpenClose,LOpenClose,set_x,set_y,set_z,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG,WTransG
0,1734107763.9277194,0.0,0.020149879157543182,-0.2881130576133728,0.9573844075202942,87.0,186.0,260.0,172.0,-0.4660325050354004,29.59638786315918,-0.3187577724456787,540.0,251.0,36.0,135.0,209.0,121.0,1.0,1.0,28.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1734107764.0457206,0.0,0.01659928634762764,-0.2642519772052765,0.9643107652664185,84.0,186.0,260.0,173.0,-4.367116928100586,24.08555793762207,-0.9241304397583008,540.0,246.0,34.0,136.0,210.0,123.0,1.0,1.0,28.0,18.0,0.0,1.0,0.0,0.0,0.08961235521097403,0.0,-1.0,0.0,0.06725595875842652,0.0,0.0,-1.0,0.9925789963431457,0.0,0.0,0.0,1.0
2,1734107764.149722,0.0,-0.015702351927757263,-0.23505493998527527,0.9718552827835083,87.0,189.0,262.0,176.0,-7.095669269561768,20.988216400146484,0.5782101154327393,535.0,240.0,36.0,138.0,211.0,125.0,1.0,1.0,28.0,18.0,0.0,1.0,0.0,0.0,0.09195340560538015,0.0,-1.0,0.0,0.06624821701924197,0.0,0.0,-1.0,0.9924250257761877,0.0,0.0,0.0,1.0
3,1734107764.2777221,0.0,-0.09099285304546356,-0.1973751336336136,0.9760960340499878,75.0,196.0,249.0,187.0,-4.456697940826416,28.715391159057617,-2.3146111965179443,540.0,232.0,25.0,146.0,199.0,137.0,1.0,1.0,28.0,18.0,0.0,1.0,0.0,0.0,0.09037665265632015,0.0,-1.0,0.0,0.06101215293744765,0.0,0.0,-1.0,0.9928506593668747,0.0,0.0,0.0,1.0
4,1734107764.3917193,0.0,-0.015702351927757263,-0.23505493998527527,0.9718552827835083,74.0,200.0,250.0,190.0,-6.408078193664551,31.805723190307617,-2.215269088745117,535.0,232.0,24.0,150.0,200.0,140.0,1.0,1.0,28.0,18.0,0.0,1.0,0.0,0.0,0.08033856178687258,0.0,-1.0,0.0,0.05977918655841168,0.0,0.0,-1.0,0.9939536632525894,0.0,0.0,0.0,1.0
5,1734107764.497758,0.0,-0.032536622136831284,-0.1973751336336136,0.9760960340499878,75.0,199.0,252.0,187.0,-6.863554954528809,32.358673095703125,-2.667809009552002,533.0,232.0,25.0,149.0,202.0,137.0,1.0,1.0,28.0,18.0,0.0,1.0,0.0,0.0,0.0769446107401818,0.0,-1.0,0.0,0.07016056425636716,0.0,0.0,-1.0,0.99353461698332,0.0,0.0,0.0,1.0
6,1734107764.6087575,0.0,-0.032536622136831284,-0.19726820290088654,0.9763966798782349,81.0,195.0,253.0,184.0,-4.093198776245117,26.3557186126709,-3.0190560817718506,535.0,230.0,31.0,145.0,203.0,134.0,1.0,1.0,28.0,18.0,0.0,1.0,0.0,0.0,0.07530902733093046,0.0,-1.0,0.0,0.06847012953952503,0.0,0.0,-1.0,0.993731824904504,0.0,0.0,0.0,1.0
7,1734107764.7197547,0.0,-0.032536622136831284,-0.14325769245624542,0.9884162545204163,88.0,189.0,260.0,176.0,-4.533607482910156,16.44644546508789,-4.416748523712158,540.0,228.0,37.0,138.0,209.0,125.0,1.0,1.0,28.0,18.0,0.0,1.0,0.0,0.0,0.08239772563158992,0.0,-1.0,0.0,0.054667741478850625,0.0,0.0,-1.0,0.9940831897782103,0.0,0.0,0.0,1.0
8,1734107764.8227558,0.0,0.005112697836011648,-0.1394702047109604,0.9884162545204163,91.0,189.0,259.0,175.0,-3.4042999744415283,12.551980972290039,-4.16700553894043,540.0,232.0,40.0,138.0,208.0,124.0,1.0,1.0,28.0,18.0,0.0,1.0,0.0,0.0,0.09239926751325005,0.0,-1.0,0.0,0.04753539123477714,0.0,0.0,-1.0,0.9934517837469404,0.0,0.0,0.0,1.0
9,1734107764.9267533,0.0,0.10908909887075424,-0.10074405372142792,0.9891504645347595,89.0,186.0,255.0,171.0,-3.3206255435943604,11.359149932861328,-5.201119422912598,540.0,235.0,39.0,136.0,205.0,121.0,1.0,1.0,28.0,18.0,0.0,1.0,0.0,0.0,0.09491965131379153,0.0,-1.0,0.0,0.04892677574958686,0.0,0.0,-1.0,0.9931850856372486,0.0,0.0,0.0,1.0
10,1734107765.0297596,0.0,0.11350762844085693,-0.10074405372142792,0.9884162545204163,91.0,190.0,256.0,174.0,-3.72377610206604,13.289800643920898,-6.344378471374512,532.0,231.0,41.0,140.0,206.0,124.0,1.0,1.0,28.0,18.0,0.0,1.0,0.0,0.0,0.09401544307651755,0.0,-1.0,0.0,0.04928809851963835,0.0,0.0,-1.0,0.9932913568640206,0.0,0.0,0.0,1.0
11,1734107765.1297555,0.0,0.1199192926287651,-0.09462659806013107,0.9874784350395203,95.0,183.0,259.0,165.0,-0.24015092849731445,9.089554786682129,-5.32576847076416,525.0,232.0,44.0,132.0,208.0,114.0,1.0,1.0,28.0,18.0,0.0,1.0,0.0,0.0,0.08750805367630385,0.0,-1.0,0.0,0.0454837903901962,0.0,0.0,-1.0,0.9940150858116756,0.0,0.0,0.0,1.0
12,1734107765.2357838,0.0,0.12819671630859375,-0.06898881494998932,0.9872240424156189,95.0,184.0,256.0,167.0,-0.29422855377197266,10.825664520263672,-5.370797157287598,529.0,224.0,45.0,134.0,206.0,117.0,1.0,1.0,28.0,18.0,0.0,1.0,0.0,0.0,0.08526169903299936,0.0,-1.0,0.0,0.04277687306631468,0.0,0.0,-1.0,0.9942718751819821,0.0,0.0,0.0,1.0
13,1734107765.3427553,0.0,0.14395906031131744,-0.06850667297840118,0.9871563911437988,100.0,180.0,259.0,164.0,0.6874537467956543,6.102643966674805,-5.118516445159912,532.0,223.0,49.0,129.0,208.0,113.0,1.0,1.0,28.0,18.0,0.0,1.0,0.0,0.0,0.08206839841282633,0.0,-1.0,0.0,0.03617782351375202,0.0,0.0,-1.0,0.9948023266818931,0.0,0.0,0.0,1.0
14,1734107765.4467578,0.0,0.15239061415195465,-0.06850667297840118,0.9864428639411926,103.0,183.0,260.0,167.0,0.026179790496826172,9.317251205444336,-5.114295959472656,534.0,221.0,52.0,132.0,209.0,116.0,1.0,1.0,28.0,18.0,0.0,1.0,0.0,0.0,0.08918370861794944,0.0,-1.0,0.0,0.03330330080515813,0.0,0.0,-1.0,0.9943149344011768,0.0,0.0,0.0,1.0
