,time_sec,gaze_x,gaze_y,gaze_z,Sgaze_x,Sgaze_y,Sgaze_z,REyePos_x,REyePos_y,LEyePos_x,LEyePos_y,yaw,pitch,roll,HeadPos_x,HeadPos_y,set_x,set_y,set_z,WTransG_x,WTransG_y,WTransG_z,RegSgaze_x,RegSgaze_y,RegSgaze_z,CalPSgaze_x,CalPSgaze_y,CalPSgaze_z,ROpenClose,LOpenClose
0,2024-12-08 15:00:56.407580,-0.32545334100723267,-0.24888013303279877,0.9122164249420166,126.53066965361838,128.529345404885,0.0,63,187,207,176,-13.1972685,7.8450775,-4.639127,539,275,142,95,0,-0.0,-0.0,-0.0,163.0798164026262,87.40950224077508,0.0,89.98152290461056,169.6491885689949,0.0,1,1
1,2024-12-08 15:00:56.637822,-0.32545334100723267,-0.2539174556732178,0.9122164249420166,58.12046072482764,101.71111425457553,0.0,75,191,222,174,-6.771743,25.854952,-2.2617137,537,293,142,95,0,31.064584832919852,2.3186823673219825,-104.67642333776712,94.66960747383546,60.59127109046564,0.0,21.57131397581982,142.83095741868544,0.0,1,1
2,2024-12-08 15:00:56.841593,-0.30265116691589355,-0.2786151170730591,0.9170930981636047,61.596641163832004,97.7646913719147,0.0,71,192,222,176,-7.1225343,28.040136,-0.55453706,543,293,142,95,0,30.31224568905756,1.1075246425665457,-104.91087272593094,98.14578791283982,56.6448482078048,0.0,25.047494414824186,138.8845345360246,0.0,1,1
3,2024-12-08 15:00:57.072185,-0.05263235419988632,-0.2786151170730591,0.9298312067985535,90.52854221758892,98.01819403859696,0.0,92,180,240,165,-4.7744346,20.03126,-6.1177397,536,295,142,95,0,30.059242316776704,0.9481602762058746,-104.99017431965613,127.07768896659674,56.898350874487065,0.0,53.9793954685811,139.13803720270687,0.0,1,1
4,2024-12-08 15:00:57.322806,-0.05263235419988632,-0.2539174556732178,0.9359668493270874,91.62464933026818,101.59433202757856,0.0,93,175,241,155,-4.4806857,10.605521,-7.9015884,540,290,142,95,0,28.985980514709816,1.6253934018639342,-105.27670843946477,128.173796079276,60.47448886346866,0.0,55.07550258126036,142.71417519168847,0.0,1,1
5,2024-12-08 15:00:57.563676,-0.04756716266274452,-0.34886014461517334,0.9359668493270874,92.77940412732181,92.10582061251205,0.0,99,178,246,155,-0.67129517,4.7617397,-6.175793,546,291,142,95,0,28.394479213705633,2.8634358559380284,-105.40410919739544,129.32855087632964,50.985977448402124,0.0,56.23025737831399,133.22566377662196,0.0,1,1
6,2024-12-08 15:00:57.781982,-0.04578026756644249,-0.16236364841461182,0.9835105538368225,94.11021412867866,114.16132093116823,0.0,101,173,245,152,1.1032987,6.248145,-5.4384975,547,289,142,95,0,27.50334775649046,3.070920280692243,-105.63562953414775,130.65936087768648,73.04147776705832,0.0,57.56106737967084,155.28116409527814,0.0,1,1
7,2024-12-08 15:00:57.996290,-0.04578026756644249,-0.16236364841461182,0.9835105538368225,94.55424573685167,114.74308384690615,0.0,107,171,250,151,3.7213788,5.8055973,-4.649967,547,292,142,95,0,27.054807822236707,3.6686723618418386,-105.73248319001826,131.10339248585947,73.62324068279625,0.0,58.00509898784385,155.86292701101604,0.0,1,1
8,2024-12-08 15:00:58.209850,0.07262561470270157,-0.1755007952451706,0.9817607402801514,107.70822017553884,112.88335705594244,0.0,106,167,250,143,4.7031446,6.3801537,-3.2179046,559,300,142,95,0,26.652478735986595,3.275384877031994,-105.84716359546519,144.25736692454666,71.76351389183253,0.0,71.15907342653102,154.00320022005235,0.0,1,1
9,2024-12-08 15:00:58.411891,0.07513149082660675,-0.17570258677005768,0.9786055088043213,108.57433579454084,113.10060920464184,0.0,104,170,248,149,5.9529576,11.816223,-3.543085,559,296,142,95,0,26.092447458859734,3.598387979096721,-105.97481164562467,145.12348254354868,71.98076604053193,0.0,72.02518904553303,154.22045236875175,0.0,1,1
